❤️央视频道,#genre#
CCTV1,http://171.213.204.88:888/udp/239.93.0.184:5140
CCTV1,http://171.213.204.254:8000/udp/239.93.0.184:5140
CCTV1,http://171.213.202.76:5555/udp/239.93.0.184:5140
CCTV2,http://171.213.204.254:8000/udp/239.93.0.59:5140
CCTV2,http://171.213.204.88:888/udp/239.93.0.59:5140
CCTV2,http://171.213.202.76:5555/udp/239.93.0.59:5140
CCTV2,http://171.213.204.88:888/udp/239.93.1.23:6000
CCTV2,http://171.213.204.254:8000/udp/239.93.1.23:6000
CCTV2,http://171.213.202.76:5555/udp/239.93.1.23:6000
CCTV3,http://171.213.204.254:8000/udp/239.93.1.11:2223
CCTV3,http://171.213.204.254:8000/udp/239.93.0.109:5140
CCTV3,http://171.213.202.76:5555/udp/239.93.1.11:2223
CCTV3,http://171.213.202.76:5555/udp/239.93.0.109:5140
CCTV3,http://171.213.204.88:888/udp/239.93.0.109:5140
CCTV3,http://171.213.204.88:888/udp/239.93.1.11:2223
CCTV4,http://171.213.202.76:5555/udp/239.93.0.60:5140
CCTV4,http://171.213.204.254:8000/udp/239.93.1.105:5140
CCTV4,http://171.213.204.254:8000/udp/239.93.0.60:5140
CCTV4,http://171.213.202.76:5555/udp/239.93.1.105:5140
CCTV4,http://171.213.204.88:888/udp/239.93.0.60:5140
CCTV4,http://171.213.204.88:888/udp/239.93.1.105:5140
CCTV5,http://171.213.204.88:888/udp/239.93.1.12:2224
CCTV5,http://171.213.204.254:8000/udp/239.93.0.110:5140
CCTV5,http://171.213.202.76:5555/udp/239.93.1.12:2224
CCTV5,http://171.213.204.88:888/udp/239.93.0.110:5140
CCTV5,http://171.213.202.76:5555/udp/239.93.42.37:5140
CCTV5,http://171.213.202.76:5555/udp/239.93.0.110:5140
CCTV5,http://171.213.204.88:888/udp/239.93.42.37:5140
CCTV5,http://171.213.204.254:8000/udp/239.93.1.12:2224
CCTV5,http://171.213.204.254:8000/udp/239.93.42.37:5140
CCTV5+,http://171.213.204.254:8000/udp/239.93.1.36:8004
CCTV5+,http://171.213.202.76:5555/udp/239.93.1.36:8004
CCTV5+,http://171.213.204.88:888/udp/239.93.1.36:8004
CCTV6,http://171.213.202.76:5555/udp/239.93.1.13:2226
CCTV6,http://171.213.204.88:888/udp/239.93.1.13:2226
CCTV6,http://171.213.204.254:8000/udp/239.93.1.13:2226
CCTV7,http://171.213.204.254:8000/udp/239.93.0.61:5140
CCTV7,http://171.213.202.76:5555/udp/239.93.1.67:5140
CCTV7,http://171.213.204.88:888/udp/239.93.0.61:5140
CCTV7,http://171.213.202.76:5555/udp/239.93.0.61:5140
CCTV7,http://171.213.204.88:888/udp/239.93.1.67:5140
CCTV7,http://171.213.204.254:8000/udp/239.93.1.67:5140
CCTV8,http://171.213.204.88:888/udp/239.93.42.39:5140
CCTV8,http://171.213.204.88:888/udp/239.93.1.14:2225
CCTV8,http://171.213.202.76:5555/udp/239.93.42.39:5140
CCTV8,http://171.213.204.254:8000/udp/239.93.1.14:2225
CCTV8,http://171.213.202.76:5555/udp/239.93.1.14:2225
CCTV8,http://171.213.204.254:8000/udp/239.93.42.39:5140
CCTV9,http://171.213.202.76:5555/udp/239.93.1.24:5140
CCTV9,http://171.213.204.254:8000/udp/239.93.1.24:5140
CCTV9,http://171.213.204.88:888/udp/239.93.1.24:5140
CCTV10,http://171.213.204.88:888/udp/239.93.1.28:5140
CCTV10,http://171.213.202.76:5555/udp/239.93.1.28:5140
CCTV10,http://171.213.204.254:8000/udp/239.93.0.63:5140
CCTV10,http://171.213.204.254:8000/udp/239.93.1.28:5140
CCTV10,http://171.213.202.76:5555/udp/239.93.0.63:5140
CCTV10,http://171.213.204.88:888/udp/239.93.0.63:5140
CCTV12,http://171.213.204.88:888/udp/239.93.0.65:5140
CCTV12,http://171.213.202.76:5555/udp/239.93.1.30:8124
CCTV12,http://171.213.204.88:888/udp/239.93.1.30:8124
CCTV12,http://171.213.204.254:8000/udp/239.93.1.30:8124
CCTV12,http://171.213.204.254:8000/udp/239.93.0.65:5140
CCTV12,http://171.213.202.76:5555/udp/239.93.0.65:5140
CCTV13,http://171.213.204.88:888/udp/239.93.0.66:5140
CCTV13,http://171.213.204.254:8000/udp/239.93.0.66:5140
CCTV13,http://171.213.202.76:5555/udp/239.93.0.66:5140
CCTV14,http://171.213.204.88:888/udp/239.93.1.29:6000
CCTV14,http://171.213.202.76:5555/udp/239.93.1.29:6000
CCTV14,http://171.213.204.254:8000/udp/239.93.1.29:6000
CCTV16,http://171.213.202.76:5555/udp/239.93.42.53:5140
CCTV16,http://171.213.204.254:8000/udp/239.93.42.53:5140
CCTV16,http://171.213.204.88:888/udp/239.93.42.53:5140
CCTV16 4K,http://171.213.204.88:888/udp/239.93.42.54:5140
CCTV16 4K,http://171.213.202.76:5555/udp/239.93.42.54:5140
CCTV16 4K,http://171.213.204.254:8000/udp/239.93.42.54:5140
CCTV17,http://171.213.204.254:8000/udp/239.93.0.92:5140
CCTV17,http://171.213.204.88:888/udp/239.93.0.92:5140
CCTV17,http://171.213.202.76:5555/udp/239.93.0.92:5140
CCTV第一剧场,http://171.213.202.76:5555/udp/239.93.1.197:5140
CCTV第一剧场,http://171.213.204.254:8000/udp/239.93.1.197:5140
CCTV第一剧场,http://171.213.204.88:888/udp/239.93.1.197:5140
CCTV怀旧剧场,http://171.213.204.88:888/udp/239.93.1.198:5140
CCTV怀旧剧场,http://171.213.204.254:8000/udp/239.93.1.198:5140
CCTV怀旧剧场,http://171.213.202.76:5555/udp/239.93.1.198:5140
CCTV风云剧场,http://171.213.202.76:5555/udp/239.93.1.156:5140
CCTV风云剧场,http://171.213.204.254:8000/udp/239.93.1.156:5140
CCTV风云剧场,http://171.213.204.88:888/udp/239.93.1.156:5140
🎍卫视频道,#genre#
四川卫视,http://171.213.202.76:5555/udp/239.93.0.169:5140
四川卫视,http://171.213.204.254:8000/udp/239.93.0.169:5140
四川卫视,http://171.213.204.88:888/udp/239.93.0.169:5140
东南卫视,http://171.213.202.76:5555/udp/239.93.0.42:5140
东南卫视,http://171.213.204.254:8000/udp/239.93.0.42:5140
东南卫视,http://171.213.204.88:888/udp/239.93.0.42:5140
东南卫视,http://171.213.204.254:8000/udp/239.93.0.81:5140
东南卫视,http://171.213.204.88:888/udp/239.93.0.81:5140
东南卫视,http://171.213.202.76:5555/udp/239.93.0.81:5140
东方卫视,http://171.213.204.88:888/udp/239.93.0.123:5140
东方卫视,http://171.213.202.76:5555/udp/239.93.0.123:5140
东方卫视,http://171.213.204.254:8000/udp/239.93.0.123:5140
北京卫视,http://171.213.204.254:8000/udp/239.93.0.180:5140
北京卫视,http://171.213.204.88:888/udp/239.93.0.180:5140
北京卫视,http://171.213.202.76:5555/udp/239.93.0.180:5140
天津卫视,http://171.213.204.88:888/udp/239.93.0.167:5140
天津卫视,http://171.213.204.254:8000/udp/239.93.0.167:5140
天津卫视,http://171.213.202.76:5555/udp/239.93.0.167:5140
安徽卫视,http://171.213.204.88:888/udp/239.93.1.106:5140
安徽卫视,http://171.213.202.76:5555/udp/239.93.1.106:5140
安徽卫视,http://171.213.204.254:8000/udp/239.93.1.106:5140
